date,scraped_at,plan,slug,unit,apartment_id,floorplan_id,beds,baths,sqft,floor,rent_min,rent_max,deposit,available_date,made_ready_date,status,amenities,specials,apply_url
2026-09-14,2026-09-15T01:21:31+00:00,Ames 1,ames-1,1422,28085716,3539941,2,2,1192,4,3051,5502,0,2026-09-17,2026-09-17,Vacant Unrented Not Ready,4th Floor; Balcony; Premium View; Botticino; Bianco,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539941&UnitID=28085716&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Ames 1,ames-1,2420,28085796,3539941,2,2,1192,4,3001,5529,0,2026-10-10,2026-10-10,Notice Unrented,4th Floor; Balcony; Botticino; Maple White,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539941&UnitID=28085796&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Ames 2,ames-2,5302,28086017,3539951,2,2,1226,,3065,5087,0,2027-01-10,2027-01-10,Notice Unrented,Premium View; Balcony; Shitake,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539951&UnitID=28086017&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Ames 2,ames-2,5422,28086057,3539951,2,2,1227,,3015,5462,0,2026-08-07,2026-08-07,Vacant Unrented Ready,Balcony; Maple White,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539951&UnitID=28086057&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Aspen 2,aspen-2,3210,28085920,3539952,2,2,1233,,3105,5561,0,2026-08-03,2026-08-03,Vacant Unrented Ready,Balcony; Shitake,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539952&UnitID=28085920&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Aspen 2,aspen-2,3218,28085928,3539952,2,2,1233,,3105,5561,0,2026-06-22,2026-06-22,Vacant Unrented Ready,Balcony; Maple White,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539952&UnitID=28085928&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Aspen 1,aspen-1,2118,28085734,3539942,2,2,1234,1,3060,5595,0,2026-09-28,2026-09-28,Notice Unrented,1st Floor; Bianco G; Angola Black,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539942&UnitID=28085734&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Aspen 1,aspen-1,3318,28085854,3539942,2,2,1234,3,3265,5433,0,2026-11-15,2026-11-15,Notice Unrented,3rd Floor; Balcony; Premium View; Botticino; Maple White; ADA,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539942&UnitID=28085854&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Avon 2,avon-2,5201,28085995,3539953,2,2,1291,,3085,5623,0,2026-09-29,2026-09-29,Notice Unrented,Ornamental,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539953&UnitID=28085995&header=1
2026-09-14,2026-09-15T01:21:31+00:00,Avon 1,avon-1,3114,28085811,3539943,2,2,1304,1,3399,5884,0,2026-08-28,2026-08-28,Vacant Unrented Ready,1st Floor; Balcony; Maple White; Private Yard; Botticino,,https://bellwestford.securecafe.com/onlineleasing/bell-westford/oleapplication.aspx?stepname=RentalOptions&myOlePropertyId=1311869&FloorPlanID=3539943&UnitID=28085811&header=1
